"Time","Value (°C)"
"2019/01/19 11:10:00","18.5351"
"2019/01/19 11:05:00","18.4668"
"2019/01/19 11:00:00","18.4417"
"2019/01/19 10:55:00","18.389"
"2019/01/19 10:50:00","18.346"
"2019/01/19 10:45:00","18.3245"
"2019/01/19 10:40:00","18.2071"
"2019/01/19 10:35:00","18.2571"
"2019/01/19 10:30:00","18.1419"
"2019/01/19 10:25:00","18.2816"
"2019/01/19 10:20:00","18.38"
"2019/01/19 10:15:00","18.3792"
"2019/01/19 10:10:00","18.319"
"2019/01/19 10:05:00","18.5453"
"2019/01/19 10:00:00","18.77"
"2019/01/19 09:55:00","18.8676"
"2019/01/19 09:50:00","18.7819"
"2019/01/19 09:45:00","18.7407"
"2019/01/19 09:40:00","18.6967"
"2019/01/19 09:35:00","18.6652"
"2019/01/19 09:30:00","18.6918"
"2019/01/19 09:25:00","18.6457"
"2019/01/19 09:20:00","18.5807"
"2019/01/19 09:15:00","18.4444"
"2019/01/19 09:10:00","18.4085"
"2019/01/19 09:05:00","18.3792"
"2019/01/19 09:00:00","18.3064"
"2019/01/19 08:55:00","18.0839"
"2019/01/19 08:50:00","17.8811"
"2019/01/19 08:45:00","17.5859"
"2019/01/19 08:40:00","17.2412"
"2019/01/19 08:35:00","17.2022"
"2019/01/19 08:30:00","17.2071"
"2019/01/19 08:25:00","16.8205"
"2019/01/19 08:20:00","16.8652"
"2019/01/19 08:15:00","16.8652"
"2019/01/19 08:10:00","16.7713"
"2019/01/19 08:05:00","18.0842"
"2019/01/19 08:00:00","17.6564"
"2019/01/19 07:55:00","17.5957"
"2019/01/19 07:50:00","17.0166"
"2019/01/19 07:45:00","15.9607"
"2019/01/19 07:40:00","15.7907"
"2019/01/19 07:35:00","15.4948"
"2019/01/19 07:30:00","15.0697"
"2019/01/19 07:25:00","14.4592"
"2019/01/19 07:20:00","13.9054"
"2019/01/19 07:15:00","12.9503"
"2019/01/19 07:10:00","12.4032"
"2019/01/19 07:05:00","11.8357"
"2019/01/19 07:00:00","11.1891"
"2019/01/19 06:55:00","10.7433"
"2019/01/19 06:50:00","10.0277"
"2019/01/19 06:45:00","11.4149"
"2019/01/19 06:40:00","11.4594"
"2019/01/19 06:35:00","11.6513"
"2019/01/19 06:30:00","11.4006"
